ID,Region,Annee,Saison,Temperature_C,Precipitations_mm,Humidite_pct,Amplitude_Thermique_C,Couverture_Forestiere_pct,Biodiversite_Shannon,Eau_Stagnante,Densite_Faune,Densite_Population,Urbanisation,Acces_Soins,Deforestation_pct,Fragmentation_Habitat,Cas_Humains,Prevalence_Animale_pct,Reservoirs_Animaux,Transmission,Agents_Sante_1000,Capacite_Laboratoire,Risque,Type_Ecosysteme,Groupe_Climatique
ECO_00016,REG_0146,2018,Été,27.6,990,48,11.4,8.9,3.95,1,6,539,5,3,21.5,4,345,2.3,1,6,0.11,3,Modéré,Savane / Zone Agricole,Tropical
ECO_00017,REG_0120,2018,Printemps,14.2,701,74,22.9,15.5,4.0,0,7,128,3,3,15.6,3,260,13.1,3,3,2.35,3,Faible,Savane / Zone Agricole,Tempéré
ECO_00018,REG_0034,2022,Été,25.2,183,61,9.8,38.9,3.76,0,6,693,4,3,20.8,4,230,5.7,3,3,4.59,3,Modéré,Savane / Zone Agricole,Tropical
ECO_00019,REG_0074,2024,Été,17.4,432,57,23.8,34.6,2.62,0,7,321,5,5,2.0,8,80,11.7,3,3,1.77,4,Faible,Savane / Zone Agricole,Tempéré
ECO_00020,REG_0028,2017,Automne,25.7,868,88,25.0,46.7,2.67,1,4,246,1,7,21.1,8,205,7.3,1,8,5.19,5,Modéré,Forêt Secondaire,Tropical
ECO_00021,REG_0014,2019,Hiver,17.3,1436,60,5.4,26.4,1.29,0,4,617,2,6,26.1,3,375,9.1,4,6,0.99,1,Modéré,Savane / Zone Agricole,Tempéré
ECO_00022,REG_0116,2017,Automne,14.3,639,51,4.6,40.2,1.0,0,1,712,3,3,6.4,2,320,1.3,2,7,2.94,5,Faible,Forêt Secondaire,Tempéré
ECO_00023,REG_0091,2011,Hiver,0.8,321,73,8.7,34.9,2.56,0,4,626,3,3,20.6,2,250,14.3,5,7,1.88,8,Modéré,Savane / Zone Agricole,Tempéré
ECO_00024,REG_0042,2018,Automne,40.0,204,70,7.2,54.2,1.52,1,5,28,3,7,8.4,7,200,17.1,3,6,1.96,6,Modéré,Savane / Zone Agricole,Tropical
ECO_00025,REG_0125,2012,Automne,8.5,729,54,10.4,53.8,2.91,0,4,320,2,6,2.2,5,65,6.1,2,5,2.75,4,Faible,Forêt Secondaire,Tempéré
ECO_00026,REG_0043,2021,Été,20.6,534,79,10.7,16.5,1.39,1,3,902,1,4,5.5,8,90,11.8,4,5,10.0,6,Faible,Savane / Zone Agricole,Subtropical
ECO_00027,REG_0080,2016,Hiver,14.9,562,77,5.8,46.0,3.03,1,8,176,9,4,4.9,7,90,7.7,3,6,0.87,4,Modéré,Forêt Secondaire,Tempéré
ECO_00028,REG_0128,2016,Été,21.4,700,46,10.6,24.8,3.19,0,4,78,3,5,8.9,4,95,6.7,1,3,1.23,6,Faible,Savane / Zone Agricole,Subtropical
ECO_00029,REG_0102,2019,Été,17.1,476,55,18.4,15.0,0.75,1,5,122,5,2,9.3,4,135,12.6,3,5,3.5,4,Faible,Savane / Zone Agricole,Tempéré
ECO_00030,REG_0043,2012,Hiver,12.4,1500,40,13.0,29.5,1.54,1,6,418,9,5,2.2,2,385,11.3,1,5,1.36,5,Faible,Savane / Zone Agricole,Tempéré
ECO_00031,REG_0053,2015,Printemps,14.8,1402,72,15.3,51.8,1.21,0,7,162,5,4,26.9,4,165,0.5,0,6,2.31,6,Faible,Forêt Dense,Tempéré
ECO_00032,REG_0096,2015,Été,17.3,2464,80,9.0,48.9,1.33,0,10,47,6,5,26.9,6,160,12.3,1,6,0.68,7,Modéré,Forêt Secondaire,Tempéré
ECO_00033,REG_0074,2017,Hiver,21.4,202,71,10.1,55.1,1.3,1,3,131,3,4,22.1,10,330,21.7,4,5,1.8,5,Faible,Savane / Zone Agricole,Subtropical
ECO_00034,REG_0070,2024,Printemps,28.8,734,43,25.0,36.6,2.16,0,5,805,2,4,10.5,6,180,12.1,4,6,3.5,6,Modéré,Forêt Secondaire,Tropical
ECO_00035,REG_0086,2012,Été,21.1,1815,58,3.9,42.3,4.0,1,5,83,5,3,14.6,7,90,6.0,3,4,1.48,4,Faible,Forêt Secondaire,Subtropical
ECO_00036,REG_0053,2021,Printemps,28.8,453,61,9.3,54.1,3.15,0,3,252,3,2,17.3,5,110,13.6,5,5,1.1,5,Faible,Savane / Zone Agricole,Tropical
ECO_00037,REG_0093,2021,Automne,17.1,543,68,2.1,36.5,2.73,0,7,91,6,4,25.4,3,200,6.8,2,3,0.61,7,Faible,Forêt Secondaire,Tempéré
ECO_00038,REG_0146,2017,Été,24.6,321,43,25.0,44.7,1.16,1,7,759,2,9,17.2,5,260,8.9,1,9,3.79,8,Faible,Savane / Zone Agricole,Subtropical
ECO_00039,REG_0056,2014,Hiver,39.9,1798,70,11.7,47.7,3.49,0,7,297,4,9,5.2,8,150,11.6,9,4,1.27,5,Modéré,Forêt Secondaire,Tropical
ECO_00040,REG_0063,2022,Hiver,26.1,1636,69,7.1,19.5,1.27,0,3,279,4,4,11.5,3,190,13.3,2,2,2.36,7,Faible,Savane / Zone Agricole,Tropical
ECO_00041,REG_0041,2022,Été,20.7,77,54,16.5,18.8,2.74,0,3,339,8,6,16.1,3,275,12.0,2,8,2.31,3,Faible,Savane / Zone Agricole,Subtropical
ECO_00042,REG_0080,2017,Printemps,40.0,87,92,2.2,34.5,4.0,1,4,573,3,5,8.6,8,475,7.9,1,2,2.74,5,Modéré,Savane / Zone Agricole,Tropical
ECO_00043,REG_0051,2024,Été,24.9,1053,60,14.8,24.7,3.89,0,10,320,2,5,10.4,6,255,23.9,3,4,1.09,8,Faible,Savane / Zone Agricole,Subtropical
ECO_00044,REG_0073,2021,Été,16.5,308,65,3.6,34.9,0.92,0,6,33,2,5,31.1,4,185,10.7,0,4,0.89,2,Faible,Savane / Zone Agricole,Tempéré
ECO_00045,REG_0119,2021,Printemps,18.8,649,77,8.5,17.7,2.58,1,3,595,6,4,17.0,9,145,11.1,1,2,0.46,3,Modéré,Savane / Zone Agricole,Subtropical
ECO_00046,REG_0016,2013,Automne,14.1,879,69,9.9,35.8,2.75,0,2,45,4,7,16.3,2,215,3.8,5,6,0.77,7,Élevé,Forêt Secondaire,Tempéré
ECO_00047,REG_0026,2010,Printemps,21.2,426,58,4.8,13.2,1.5,0,7,183,5,8,7.8,2,200,5.6,5,5,2.31,3,Faible,Savane / Zone Agricole,Subtropical
ECO_00048,REG_0104,2013,Été,17.5,1975,60,7.7,35.6,2.46,1,3,130,10,6,22.1,5,85,7.1,3,5,3.55,6,Faible,Forêt Secondaire,Tempéré
ECO_00049,REG_0022,2016,Hiver,10.1,186,95,8.2,6.8,3.74,0,6,418,2,7,13.8,6,85,5.8,3,5,4.57,10,Faible,Savane / Zone Agricole,Tempéré
ECO_00050,REG_0019,2020,Hiver,24.1,1411,60,15.1,31.9,1.5,0,5,191,4,7,45.1,5,290,6.4,5,7,2.52,7,Faible,Forêt Secondaire,Subtropical
ECO_00051,REG_0138,2016,Été,21.7,342,90,5.7,38.2,0.61,1,5,59,3,8,9.6,7,155,4.3,2,2,5.78,5,Faible,Savane / Zone Agricole,Subtropical
ECO_00052,REG_0062,2011,Hiver,17.8,459,78,5.7,44.3,3.64,0,2,385,5,4,12.5,6,110,6.5,3,6,3.4,9,Faible,Savane / Zone Agricole,Tempéré
ECO_00053,REG_0037,2021,Automne,40.0,311,65,13.7,4.8,3.76,1,7,30,2,6,27.3,7,240,7.4,2,5,2.15,6,Faible,Savane / Zone Agricole,Tropical
ECO_00054,REG_0099,2024,Été,23.6,595,82,15.8,52.2,3.09,1,2,227,5,3,7.0,4,210,4.2,4,4,5.22,2,Modéré,Forêt Secondaire,Subtropical
ECO_00055,REG_0017,2012,Printemps,25.8,197,48,9.5,54.2,2.91,1,6,628,6,3,7.1,3,125,16.9,1,10,3.42,3,Modéré,Savane / Zone Agricole,Tropical
ECO_00056,REG_0016,2022,Hiver,40.0,636,58,2.6,37.4,0.89,1,7,144,3,6,21.7,5,185,4.1,2,3,1.98,2,Faible,Forêt Secondaire,Tropical
ECO_00057,REG_0087,2014,Printemps,38.3,881,69,18.5,39.1,2.77,0,5,190,2,4,2.0,6,315,2.2,3,8,1.39,8,Faible,Forêt Secondaire,Tropical
ECO_00058,REG_0023,2013,Printemps,19.8,445,47,4.1,59.9,2.52,1,6,251,5,6,5.6,6,315,3.1,4,7,1.36,2,Modéré,Savane / Zone Agricole,Subtropical
ECO_00059,REG_0093,2014,Été,35.7,576,60,14.0,15.2,0.92,1,5,135,3,4,10.5,3,400,12.4,2,7,3.65,5,Faible,Savane / Zone Agricole,Tropical
ECO_00060,REG_0029,2020,Automne,35.6,726,37,5.5,36.8,1.77,1,5,189,3,4,7.1,5,185,11.9,2,6,1.13,3,Élevé,Forêt Secondaire,Tropical
ECO_00061,REG_0088,2014,Automne,24.0,50,52,2.2,16.1,3.15,0,6,788,2,6,7.9,8,390,11.5,4,5,6.95,5,Faible,Savane / Zone Agricole,Subtropical
ECO_00062,REG_0116,2021,Printemps,12.3,278,30,2.0,22.2,2.0,0,3,127,7,4,8.9,6,375,5.3,4,7,0.9,5,Faible,Savane / Zone Agricole,Tempéré
ECO_00063,REG_0039,2014,Été,15.9,50,53,16.4,40.9,2.61,0,9,309,5,4,39.2,2,465,3.4,3,4,1.04,4,Faible,Savane / Zone Agricole,Tempéré
ECO_00064,REG_0060,2011,Été,20.0,834,57,15.3,53.2,1.42,0,4,363,3,7,22.1,5,120,10.8,4,4,2.88,4,Faible,Forêt Secondaire,Subtropical
ECO_00065,REG_0095,2017,Printemps,9.7,1343,71,9.3,36.9,2.36,0,7,366,4,1,5.7,7,210,13.9,1,4,1.3,4,Modéré,Forêt Secondaire,Tempéré
ECO_00066,REG_0111,2013,Hiver,27.3,633,63,11.6,57.4,1.2,1,4,71,3,4,13.4,3,135,8.4,5,6,5.23,2,Modéré,Forêt Secondaire,Tropical
ECO_00067,REG_0065,2021,Été,40.0,2763,70,7.2,59.9,1.64,1,6,830,3,5,36.4,5,290,5.3,3,10,1.24,5,Élevé,Forêt Dense,Tropical
ECO_00068,REG_0122,2017,Hiver,29.2,1251,61,22.4,19.1,1.32,0,3,550,2,2,18.2,6,150,16.7,4,7,2.58,8,Modéré,Savane / Zone Agricole,Tropical
ECO_00069,REG_0141,2010,Été,32.1,203,65,17.8,13.3,2.1,0,2,187,6,6,30.1,4,380,10.7,2,4,7.78,3,Faible,Savane / Zone Agricole,Tropical
ECO_00070,REG_0086,2011,Été,22.3,1520,91,2.9,44.8,2.23,0,5,361,5,4,19.3,2,285,12.8,5,9,2.56,7,Faible,Forêt Secondaire,Subtropical
ECO_00071,REG_0106,2017,Hiver,34.8,478,78,21.5,26.2,2.65,0,5,279,3,9,20.0,4,305,12.7,2,4,5.96,7,Faible,Savane / Zone Agricole,Tropical
ECO_00072,REG_0056,2012,Été,12.8,279,78,11.3,48.9,1.25,1,4,333,8,6,14.9,8,345,5.6,3,7,1.35,6,Modéré,Savane / Zone Agricole,Tempéré
ECO_00073,REG_0040,2019,Hiver,10.6,66,47,8.6,7.5,3.83,0,7,135,5,4,12.6,3,30,3.1,4,7,1.32,6,Faible,Savane / Zone Agricole,Tempéré
ECO_00074,REG_0127,2011,Automne,23.1,310,53,7.8,52.1,1.25,1,6,145,4,5,5.2,6,380,7.5,2,5,5.89,6,Faible,Savane / Zone Agricole,Subtropical
ECO_00075,REG_0013,2020,Printemps,40.0,3000,64,14.6,69.0,3.1,0,7,516,5,6,20.3,3,240,5.2,3,5,0.83,7,Modéré,Forêt Dense,Tropical
ECO_00076,REG_0029,2020,Printemps,32.6,563,74,22.0,54.9,1.23,0,7,1294,1,8,27.9,3,230,2.3,2,7,3.61,7,Modéré,Forêt Secondaire,Tropical
ECO_00077,REG_0100,2024,Été,28.8,777,61,9.8,46.6,0.7,0,6,97,3,3,33.4,5,245,7.3,3,6,2.56,9,Faible,Forêt Secondaire,Tropical
ECO_00078,REG_0150,2010,Printemps,25.6,1825,67,15.4,23.2,1.22,0,3,1021,2,5,24.8,1,240,2.1,2,5,3.12,5,Faible,Savane / Zone Agricole,Tropical
ECO_00079,REG_0076,2010,Printemps,29.8,863,78,2.9,26.3,0.95,0,4,231,8,6,1.8,4,485,6.3,4,5,10.0,7,Faible,Savane / Zone Agricole,Tropical
ECO_00080,REG_0095,2019,Été,22.7,943,43,2.0,30.2,1.3,1,8,54,5,4,18.6,4,220,4.9,3,4,4.76,6,Faible,Forêt Secondaire,Subtropical
ECO_00081,REG_0036,2014,Hiver,24.4,540,74,3.4,22.1,1.32,0,1,112,4,5,24.1,7,140,5.4,4,7,9.14,6,Faible,Savane / Zone Agricole,Subtropical
ECO_00082,REG_0132,2010,Automne,33.4,1473,81,4.1,40.9,2.09,0,5,304,5,5,9.0,3,295,9.2,3,9,0.45,4,Faible,Forêt Secondaire,Tropical
ECO_00083,REG_0127,2021,Printemps,30.0,1857,55,4.4,48.9,1.07,1,4,138,3,7,5.8,3,325,10.4,4,4,1.82,5,Modéré,Forêt Secondaire,Tropical
ECO_00084,REG_0014,2015,Automne,21.7,372,63,2.1,30.8,0.57,0,7,169,3,6,4.7,6,210,5.6,10,7,4.12,4,Faible,Savane / Zone Agricole,Subtropical
ECO_00085,REG_0089,2017,Automne,16.0,622,86,15.4,8.5,1.76,1,5,1068,2,5,24.4,3,435,7.3,3,9,2.42,2,Modéré,Savane / Zone Agricole,Tempéré
ECO_00086,REG_0136,2010,Printemps,23.3,641,64,8.6,16.9,0.97,0,4,166,5,5,19.6,4,275,16.9,1,6,1.36,2,Faible,Savane / Zone Agricole,Subtropical
ECO_00087,REG_0007,2021,Hiver,18.6,3000,65,10.0,18.9,1.06,1,4,94,7,6,31.5,4,215,17.3,2,7,3.11,3,Faible,Savane / Zone Agricole,Subtropical
ECO_00088,REG_0127,2011,Automne,-5.0,643,83,5.2,43.6,2.73,1,2,193,5,2,20.1,6,155,4.0,3,4,0.71,5,Modéré,Forêt Secondaire,Tempéré
ECO_00089,REG_0012,2011,Printemps,23.5,935,68,4.8,30.4,1.04,1,4,201,3,8,41.2,4,500,4.4,5,5,1.55,4,Faible,Forêt Secondaire,Subtropical
ECO_00090,REG_0097,2022,Automne,13.4,973,68,12.5,14.0,2.84,1,7,16,4,3,2.2,7,230,6.7,2,4,7.17,5,Faible,Savane / Zone Agricole,Tempéré
ECO_00091,REG_0080,2011,Automne,17.0,278,72,6.9,44.1,3.54,1,4,636,3,3,20.8,9,160,9.6,1,4,2.26,6,Modéré,Savane / Zone Agricole,Tempéré
ECO_00092,REG_0143,2018,Hiver,34.8,1734,68,3.3,44.5,1.99,0,5,1104,5,8,34.9,3,295,19.2,1,5,0.82,6,Faible,Forêt Secondaire,Tropical
ECO_00093,REG_0009,2019,Été,15.7,772,77,15.2,46.2,4.0,1,7,206,4,5,24.9,3,180,3.4,4,8,3.39,4,Modéré,Forêt Secondaire,Tempéré
ECO_00094,REG_0041,2023,Printemps,6.2,432,62,21.8,37.7,1.59,0,2,10,4,4,11.6,4,260,9.0,1,4,7.47,5,Faible,Savane / Zone Agricole,Tempéré
ECO_00095,REG_0076,2021,Été,33.5,761,43,3.8,6.7,2.22,1,10,169,2,4,5.4,3,200,11.4,1,7,2.65,9,Faible,Savane / Zone Agricole,Tropical
ECO_00096,REG_0074,2022,Hiver,16.1,1371,64,8.4,27.2,2.05,1,5,266,1,3,20.8,6,345,9.2,2,9,2.13,3,Faible,Savane / Zone Agricole,Tempéré
ECO_00097,REG_0140,2019,Printemps,26.1,604,64,10.2,46.5,3.83,1,6,307,4,5,27.8,3,280,4.9,3,3,2.83,7,Faible,Forêt Secondaire,Tropical
ECO_00098,REG_0029,2022,Hiver,29.2,1140,46,25.0,17.4,2.43,1,5,66,2,2,5.2,6,160,9.7,0,9,1.8,2,Modéré,Savane / Zone Agricole,Tropical
ECO_00099,REG_0072,2022,Automne,13.4,687,54,2.4,45.9,0.85,1,6,116,2,4,18.5,3,270,0.3,0,6,7.4,4,Faible,Forêt Secondaire,Tempéré
ECO_00100,REG_0030,2021,Printemps,15.4,262,47,3.4,24.3,2.23,0,3,522,5,10,5.2,1,105,10.4,3,3,1.78,7,Faible,Savane / Zone Agricole,Tempéré
ECO_00101,REG_0146,2012,Printemps,23.0,936,68,14.0,21.9,1.52,0,3,476,2,7,16.3,7,220,2.7,1,5,2.19,8,Faible,Savane / Zone Agricole,Subtropical
ECO_00102,REG_0101,2010,Hiver,28.1,2374,70,10.1,36.3,2.03,0,5,204,2,2,5.2,4,165,11.3,4,4,4.63,5,Faible,Forêt Secondaire,Tropical
ECO_00103,REG_0137,2023,Hiver,29.5,356,55,9.2,59.9,1.28,1,7,19,4,4,27.8,9,235,6.4,4,7,3.64,3,Modéré,Savane / Zone Agricole,Tropical
ECO_00104,REG_0116,2016,Automne,22.0,202,65,3.9,32.6,2.91,0,6,268,6,2,4.6,3,150,7.1,1,4,2.04,9,Faible,Savane / Zone Agricole,Subtropical
ECO_00105,REG_0025,2019,Automne,24.7,768,72,8.5,31.1,1.48,0,1,303,4,6,16.2,4,185,9.1,4,5,4.33,5,Faible,Forêt Secondaire,Subtropical
ECO_00106,REG_0124,2013,Hiver,35.1,423,72,16.8,12.1,1.17,0,4,63,5,4,19.3,6,215,10.7,2,7,2.47,4,Faible,Savane / Zone Agricole,Tropical
ECO_00107,REG_0107,2021,Hiver,22.2,150,42,8.8,15.9,0.65,0,8,157,2,10,16.6,3,205,7.0,3,4,0.65,3,Faible,Savane / Zone Agricole,Subtropical
ECO_00108,REG_0098,2012,Printemps,9.0,1162,84,5.1,22.3,1.31,1,7,379,7,3,13.8,4,155,9.9,2,2,2.9,3,Faible,Savane / Zone Agricole,Tempéré
ECO_00109,REG_0014,2022,Été,22.7,50,57,2.6,38.0,2.84,1,5,152,3,7,37.4,6,160,4.6,2,4,5.62,6,Faible,Savane / Zone Agricole,Subtropical
ECO_00110,REG_0101,2024,Printemps,10.7,505,58,15.4,46.6,2.41,1,5,953,3,3,15.3,4,90,8.6,6,10,6.84,3,Faible,Forêt Secondaire,Tempéré
ECO_00111,REG_0007,2016,Printemps,36.5,840,75,13.5,11.7,3.53,0,6,280,9,5,14.2,5,210,0.8,3,8,1.14,7,Modéré,Savane / Zone Agricole,Tropical
ECO_00112,REG_0040,2017,Printemps,28.4,3000,45,25.0,38.6,2.58,0,3,651,2,4,36.6,8,255,11.0,3,2,1.67,2,Élevé,Forêt Secondaire,Tropical
ECO_00113,REG_0038,2016,Hiver,19.8,683,44,11.7,26.1,2.71,1,5,290,2,6,13.7,5,115,7.8,4,4,3.47,5,Modéré,Savane / Zone Agricole,Subtropical
ECO_00114,REG_0150,2018,Automne,21.2,1323,42,15.8,15.6,0.56,0,6,388,6,4,39.5,8,95,10.7,3,6,3.58,8,Faible,Savane / Zone Agricole,Subtropical
ECO_00115,REG_0072,2018,Hiver,40.0,516,77,25.0,66.7,1.67,0,5,506,3,6,20.2,6,145,3.9,0,6,2.0,9,Modéré,Forêt Secondaire,Tropical
ECO_00116,REG_0073,2015,Automne,15.2,1288,79,15.9,8.3,1.6,0,7,92,3,10,3.9,2,175,4.3,1,2,1.68,7,Faible,Savane / Zone Agricole,Tempéré
ECO_00117,REG_0014,2012,Automne,28.2,645,92,10.3,23.6,1.19,0,6,430,4,5,16.0,8,370,22.5,5,2,1.66,7,Modéré,Savane / Zone Agricole,Tropical
ECO_00118,REG_0131,2015,Automne,33.2,137,50,9.2,18.1,1.28,1,4,203,8,5,18.9,6,240,7.6,2,5,1.61,7,Faible,Savane / Zone Agricole,Tropical
ECO_00119,REG_0142,2012,Hiver,24.1,995,52,3.1,26.2,1.48,1,4,98,2,8,43.1,6,360,5.9,4,6,0.17,2,Modéré,Savane / Zone Agricole,Subtropical
ECO_00120,REG_0100,2017,Automne,20.8,872,61,8.1,47.5,2.71,1,4,154,6,3,6.2,5,350,10.5,2,2,2.17,5,Faible,Forêt Secondaire,Subtropical
ECO_00121,REG_0055,2012,Automne,35.8,127,42,10.2,44.6,3.03,0,8,60,3,8,15.7,8,125,4.5,3,6,5.07,7,Faible,Savane / Zone Agricole,Tropical
ECO_00122,REG_0124,2022,Automne,15.3,886,95,10.5,13.4,2.08,1,2,361,5,6,22.0,5,220,10.2,4,10,2.7,6,Modéré,Savane / Zone Agricole,Tempéré
ECO_00123,REG_0077,2024,Automne,35.1,1354,78,3.0,38.1,4.0,1,9,437,1,6,11.4,2,215,2.7,4,4,0.4,7,Modéré,Forêt Secondaire,Tropical
ECO_00124,REG_0145,2012,Été,16.9,1190,58,12.3,35.0,1.98,0,5,7,3,4,2.0,3,295,5.1,1,4,2.28,9,Faible,Forêt Secondaire,Tempéré
ECO_00125,REG_0053,2023,Été,16.3,623,74,4.8,38.3,1.07,1,4,179,3,4,11.0,9,245,8.2,0,4,1.36,4,Faible,Forêt Secondaire,Tempéré
ECO_00126,REG_0109,2013,Automne,14.5,646,38,3.8,13.0,2.5,0,5,171,4,2,1.8,5,300,16.1,1,4,0.16,5,Faible,Savane / Zone Agricole,Tempéré
ECO_00127,REG_0010,2013,Automne,35.0,863,95,3.5,22.4,0.84,1,3,574,5,3,19.9,4,325,0.8,1,5,1.17,4,Faible,Savane / Zone Agricole,Tropical
ECO_00128,REG_0078,2016,Été,17.9,1095,50,17.4,44.4,1.09,1,9,368,4,4,23.4,4,230,3.2,7,6,5.16,3,Modéré,Forêt Secondaire,Tempéré
ECO_00129,REG_0122,2024,Hiver,30.0,557,54,2.3,36.1,2.46,0,4,67,2,3,10.5,7,145,11.1,3,3,6.22,5,Faible,Forêt Secondaire,Tropical
ECO_00130,REG_0030,2019,Printemps,20.4,1379,61,5.4,63.4,0.71,0,6,422,2,4,18.8,1,260,3.7,0,2,5.48,3,Faible,Forêt Dense,Subtropical
ECO_00131,REG_0124,2019,Printemps,2.0,1158,77,8.6,11.3,2.98,1,3,157,4,3,1.9,3,135,2.3,3,5,0.48,6,Faible,Savane / Zone Agricole,Tempéré
ECO_00132,REG_0150,2023,Hiver,25.5,454,37,7.7,11.6,1.38,0,5,162,3,2,28.3,7,255,10.0,1,6,2.45,5,Faible,Savane / Zone Agricole,Tropical
ECO_00133,REG_0124,2010,Automne,8.3,1555,72,11.3,41.2,1.45,1,6,626,4,4,13.2,5,240,6.0,2,5,7.25,5,Modéré,Forêt Secondaire,Tempéré
ECO_00134,REG_0060,2019,Été,30.8,1090,51,12.6,11.3,1.51,1,6,222,4,5,10.6,7,500,5.0,4,4,2.37,6,Modéré,Savane / Zone Agricole,Tropical
ECO_00135,REG_0112,2016,Été,12.5,335,90,12.7,24.3,4.0,1,6,205,3,3,19.0,7,495,6.7,1,5,3.47,2,Modéré,Savane / Zone Agricole,Tempéré
ECO_00136,REG_0094,2010,Été,28.5,572,53,20.2,5.2,2.91,0,7,737,4,3,7.5,7,130,4.3,6,8,0.81,6,Modéré,Savane / Zone Agricole,Tropical
ECO_00137,REG_0137,2023,Été,12.9,346,53,5.5,32.6,1.34,0,6,434,5,7,34.0,4,155,2.4,4,6,0.21,9,Faible,Savane / Zone Agricole,Tempéré
ECO_00138,REG_0105,2021,Été,15.8,1155,40,2.0,15.7,1.64,0,2,488,6,4,31.2,3,135,10.7,2,4,0.78,7,Faible,Savane / Zone Agricole,Tempéré
ECO_00139,REG_0091,2023,Été,22.0,1404,57,2.0,39.5,1.32,0,6,119,3,8,13.8,4,230,13.4,3,8,2.63,4,Faible,Forêt Secondaire,Subtropical
ECO_00140,REG_0099,2022,Automne,8.8,822,77,8.8,15.4,1.61,1,4,253,4,6,25.3,3,120,2.6,5,3,2.61,4,Faible,Savane / Zone Agricole,Tempéré
ECO_00141,REG_0113,2024,Printemps,7.9,476,63,2.0,64.7,1.02,0,8,592,5,2,36.8,2,225,4.1,0,6,7.6,3,Modéré,Savane / Zone Agricole,Tempéré
ECO_00142,REG_0079,2014,Printemps,25.8,554,50,10.4,62.6,1.04,1,2,516,4,5,3.5,5,130,4.6,3,6,1.58,1,Faible,Forêt Secondaire,Tropical
ECO_00143,REG_0026,2018,Printemps,25.6,1276,39,13.9,65.5,1.78,0,4,215,5,2,2.4,6,110,6.4,5,7,3.33,6,Modéré,Forêt Dense,Tropical
ECO_00144,REG_0100,2011,Printemps,15.3,121,57,5.7,46.6,4.0,0,7,61,4,3,10.0,6,330,8.6,3,5,3.08,4,Faible,Savane / Zone Agricole,Tempéré
